split,period_level,transaction_year,rows,actual_mean,actual_median,predicted_mean,predicted_median,mean_residual_prediction_minus_actual,mae,transaction_quarter
train,quarter,2015,4903,433797.6502141546,405000.0,434172.08363506926,410643.78715248726,374.4334209146504,23407.145988951957,2.0
train,quarter,2015,4498,434201.00108492665,405000.0,434104.30918094824,409041.940791178,-96.69190397838717,23111.860330144144,3.0
train,quarter,2015,4630,435185.9025399568,405944.0,432479.20546766376,410678.5208584678,-2706.69707229304,23944.091827047036,4.0
train,quarter,2016,4135,436568.8607013301,408000.0,434522.5747923824,411643.2949723329,-2046.2859089476426,23829.38375960531,1.0
train,quarter,2016,5480,439309.8977883212,410000.0,437935.59048097394,414909.95364310034,-1374.3073073472406,23423.84097754847,2.0
train,quarter,2016,5122,440510.0068332683,410000.0,438519.9888053684,413919.97786055657,-1990.0180278997937,24175.784444053337,3.0
train,quarter,2016,4636,438460.8555910267,410000.0,434119.1437425999,411801.8706566076,-4341.7118484268785,24682.65172283864,4.0
train,quarter,2017,4173,440669.8533141625,410000.0,437666.78388992575,413496.4565965344,-3003.0694242367485,24602.89244163007,1.0
train,quarter,2017,5566,443563.626417535,410000.0,441342.8129418369,413767.1564096827,-2220.81347569815,25097.961652140224,2.0
train,quarter,2017,5420,445364.3095940959,412000.0,444936.30598941137,419478.3103608135,-428.0036046845833,25550.686776691593,3.0
train,quarter,2017,5350,445241.9939962617,413000.0,444149.16890655743,419633.2166743563,-1092.8250897042428,26206.22148908404,4.0
train,quarter,2018,4136,450316.96349129593,415000.0,447930.1742677707,418553.14606693346,-2386.789223525241,27132.413007131778,1.0
train,quarter,2018,5553,446455.09940572665,410000.0,444295.4003878679,414352.0377049706,-2159.699017858762,26872.115433197643,2.0
train,quarter,2018,6591,440501.5625109999,408000.0,440272.2367151626,414052.2036608153,-229.32579583727565,26771.833249807725,3.0
train,quarter,2018,5281,429740.70232910436,397000.0,428616.49100212444,404421.9104073805,-1124.2113269798713,25956.329994415828,4.0
train,quarter,2019,4507,430809.2522742401,396000.0,430366.0949917691,403236.1861720014,-443.1572824709484,26006.675809760494,1.0
train,quarter,2019,5869,432379.38882262737,400000.0,433009.4431807948,406895.17407543014,630.0543581674717,26165.489777833587,2.0
train,quarter,2019,5846,433151.8590078687,405000.0,435525.0815442695,411120.6718867827,2373.2225364008327,25722.33707596593,3.0
train,quarter,2019,5964,431910.46862508386,405000.0,432573.3171461057,412189.0189536893,662.848521021904,25527.803488579964,4.0
train,quarter,2020,5509,434483.57088400796,408000.0,434223.1661067599,410905.34414898977,-260.4047772480537,24780.49675722078,1.0
train,quarter,2020,3225,434848.3118635659,410000.0,436873.76823869237,414246.27002788754,2025.4563751265146,25118.03936744407,2.0
train,quarter,2020,7364,448287.6325040739,422000.0,447543.422609583,424508.8194904352,-744.2098944908562,24691.276741277325,3.0
train,quarter,2020,7235,477662.60760193504,450000.0,472257.71019704186,446816.1744435017,-5404.897404893128,26549.874582159755,4.0
train,quarter,2021,7094,490742.1337411898,460000.0,495152.8638194327,473936.02519170515,4410.730078242922,27512.394266663025,1.0
train,quarter,2021,6592,508223.32524271845,480000.0,505181.3920417099,482056.580486304,-3041.933201008585,26435.055314251793,2.0
train,quarter,2021,7914,516051.5471556735,488000.0,511578.05690949457,491382.2980182978,-4473.490246178893,25838.768159441493,3.0
train,quarter,2021,7487,528780.7263096033,500000.0,520392.52060450753,503146.64634856436,-8388.2057050958,26727.661667802397,4.0
train,quarter,2022,6599,532277.6652144265,505000.0,529556.4296084669,512020.6914572589,-2721.2356059595645,26556.53092048824,1.0
train,quarter,2022,6551,549389.3195603725,520000.0,542029.6243708745,522192.4958436894,-7359.695189497984,26469.125144054135,2.0
train,quarter,2022,7248,558258.8178642384,530000.0,548879.9648503675,533438.7975106763,-9378.853013870865,28262.993867811325,3.0
train,quarter,2022,6322,558455.7512875672,535044.0,549731.5035195714,538978.7884205647,-8724.247767995894,28601.98566137469,4.0
validation,year,2023,25754,571806.0079770132,550000.0,532374.9599435771,519832.6945115696,-39431.048033436266,44032.079889244356,
validation,year,2024,27832,612596.9405468525,590000.0,533145.5508291095,519545.68579387804,-79451.38971774302,80164.94258799266,
validation,quarter,2023,6665,559704.2305176294,539000.0,516418.5939031454,503496.29999786866,-43285.63661448396,46258.98450898947,1.0
validation,quarter,2023,6275,572783.8154007968,550000.0,529631.5041443543,516577.55019145843,-43152.311256442605,46370.78519255189,2.0
validation,quarter,2023,6493,576785.813281996,555000.0,537917.730937775,525181.86557352,-38868.08234422093,43775.66720397516,3.0
validation,quarter,2023,6321,578480.383762063,560000.0,546229.5957186556,535690.5269890375,-32250.788043407385,39625.68730841806,4.0
validation,quarter,2024,6790,591249.0064447718,570000.0,518372.03569723165,507358.0159474035,-72876.97074754008,73679.92833537929,1.0
validation,quarter,2024,7031,603656.9030009956,580000.0,526438.6854587232,512421.94954410073,-77218.21754227238,77948.02117726849,2.0
validation,quarter,2024,7831,621814.0391750734,600000.0,539892.6291136201,526678.6725581082,-81921.41006145334,82679.56758806674,3.0
validation,quarter,2024,6180,634543.6682459547,615000.0,548458.1346670763,536724.03428298,-86085.53357887839,86625.84757803575,4.0
