location_key,block,street_name,geocode_quality,matched_address,nearest_mrt_station,nearest_mrt_distance_reference_m,mrt_distance_model_eligible,nearest_mrt_distance_m
281|YISHUN ST 22,281,YISHUN ST 22,exact_building,281 YISHUN STREET 22 FICUS VALE SINGAPORE 760281,CANBERRA,947.2051546805758,True,947.2051546805758
321|ANG MO KIO AVE 1,321,ANG MO KIO AVE 1,exact_building,321 ANG MO KIO AVENUE 1 NEIGHBOURHOOD POLICE POST TECK GHEE,ANG MO KIO,483.3067019860693,True,483.3067019860693
114|ANG MO KIO AVE 4,114,ANG MO KIO AVE 4,exact_building,114 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560114,MAYFLOWER,56.837526611926535,True,56.837526611926535
452|ANG MO KIO AVE 10,452,ANG MO KIO AVE 10,exact_building,452 ANG MO KIO AVENUE 10 CHONG BOON CENTRE SINGAPORE 560452,ANG MO KIO,698.9377567904528,True,698.9377567904528
577|ANG MO KIO AVE 10,577,ANG MO KIO AVE 10,exact_building,577 ANG MO KIO AVENUE 10 CHENG SAN COURT SINGAPORE 560577,ANG MO KIO,702.9647060663867,True,702.9647060663867
554|ANG MO KIO AVE 10,554,ANG MO KIO AVE 10,exact_building,554 ANG MO KIO AVENUE 10 CHENG SAN PLACE SINGAPORE 560554,ANG MO KIO,943.169681885068,True,943.169681885068
207|ANG MO KIO AVE 1,207,ANG MO KIO AVE 1,exact_building,207 ANG MO KIO AVENUE 1 ANG MO KIO 22 SINGAPORE 560207,ANG MO KIO,826.6609645017193,True,826.6609645017193
311|ANG MO KIO AVE 3,311,ANG MO KIO AVE 3,exact_building,311 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560311,ANG MO KIO,317.8943040847078,True,317.8943040847078
437|ANG MO KIO AVE 10,437,ANG MO KIO AVE 10,exact_building,437 ANG MO KIO AVENUE 10 CHONG BOON RISE SINGAPORE 560437,ANG MO KIO,445.71340268398137,True,445.71340268398137
123|BEDOK NTH ST 2,123,BEDOK NTH ST 2,exact_building,123 BEDOK NORTH STREET 2 SINGAPORE 460123,BEDOK RESERVOIR,923.493934764208,True,923.493934764208
